id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction,home_team,away_team,match_date
310360,2,SavedShot,0.7830000305175782,0.5429999923706055,0.03275249898433685,Thiago Alcántara,h,229,OpenPlay,2019,RightFoot,12403,Bayern Munich,Hertha Berlin,2,2,2019-08-16 19:30:00,Serge Gnabry,Pass,Bayern Munich,Hertha Berlin,2019-08-16 19:30:00
310361,6,MissedShots,0.815,0.43099998474121093,0.05844540148973465,Thomas Müller,h,224,OpenPlay,2019,RightFoot,12403,Bayern Munich,Hertha Berlin,2,2,2019-08-16 19:30:00,Serge Gnabry,Pass,Bayern Munich,Hertha Berlin,2019-08-16 19:30:00
310364,16,SavedShot,0.9369999694824219,0.3940000152587891,0.019293200224637985,Thomas Müller,h,224,SetPiece,2019,Head,12403,Bayern Munich,Hertha Berlin,2,2,2019-08-16 19:30:00,David Alaba,Aerial,Bayern Munich,Hertha Berlin,2019-08-16 19:30:00
310365,23,Goal,0.9359999847412109,0.505,0.5936610102653503,Robert Lewandowski,h,227,OpenPlay,2019,LeftFoot,12403,Bayern Munich,Hertha Berlin,2,2,2019-08-16 19:30:00,Serge Gnabry,Pass,Bayern Munich,Hertha Berlin,2019-08-16 19:30:00
310366,24,SavedShot,0.909000015258789,0.28700000762939454,0.05189770087599754,Serge Gnabry,h,993,OpenPlay,2019,RightFoot,12403,Bayern Munich,Hertha Berlin,2,2,2019-08-16 19:30:00,Corentin Tolisso,Pass,Bayern Munich,Hertha Berlin,2019-08-16 19:30:00
310367,24,BlockedShot,0.8619999694824219,0.4179999923706055,0.10094399750232697,Robert Lewandowski,h,227,OpenPlay,2019,RightFoot,12403,Bayern Munich,Hertha Berlin,2,2,2019-08-16 19:30:00,Joshua Kimmich,Pass,Bayern Munich,Hertha Berlin,2019-08-16 19:30:00
310368,27,BlockedShot,0.8690000152587891,0.3320000076293945,0.07420770078897476,Thomas Müller,h,224,OpenPlay,2019,RightFoot,12403,Bayern Munich,Hertha Berlin,2,2,2019-08-16 19:30:00,Kingsley Coman,Pass,Bayern Munich,Hertha Berlin,2019-08-16 19:30:00
310369,30,BlockedShot,0.8490000152587891,0.3240000152587891,0.0765295997262001,Robert Lewandowski,h,227,OpenPlay,2019,RightFoot,12403,Bayern Munich,Hertha Berlin,2,2,2019-08-16 19:30:00,Thomas Müller,Pass,Bayern Munich,Hertha Berlin,2019-08-16 19:30:00
310372,51,SavedShot,0.92,0.6170000076293946,0.2969540059566498,Kingsley Coman,h,226,OpenPlay,2019,RightFoot,12403,Bayern Munich,Hertha Berlin,2,2,2019-08-16 19:30:00,Serge Gnabry,Pass,Bayern Munich,Hertha Berlin,2019-08-16 19:30:00
310373,55,SavedShot,0.749000015258789,0.3189999961853027,0.017201300710439682,Serge Gnabry,h,993,OpenPlay,2019,RightFoot,12403,Bayern Munich,Hertha Berlin,2,2,2019-08-16 19:30:00,Kingsley Coman,Pass,Bayern Munich,Hertha Berlin,2019-08-16 19:30:00
310374,59,Goal,0.885,0.5,0.7577769756317139,Robert Lewandowski,h,227,Penalty,2019,RightFoot,12403,Bayern Munich,Hertha Berlin,2,2,2019-08-16 19:30:00,,Standard,Bayern Munich,Hertha Berlin,2019-08-16 19:30:00
310375,70,BlockedShot,0.7919999694824219,0.42700000762939455,0.036407601088285446,Serge Gnabry,h,993,OpenPlay,2019,LeftFoot,12403,Bayern Munich,Hertha Berlin,2,2,2019-08-16 19:30:00,,None,Bayern Munich,Hertha Berlin,2019-08-16 19:30:00
310376,71,MissedShots,0.88,0.39799999237060546,0.09896879643201828,Corentin Tolisso,h,3603,OpenPlay,2019,RightFoot,12403,Bayern Munich,Hertha Berlin,2,2,2019-08-16 19:30:00,Serge Gnabry,Pass,Bayern Munich,Hertha Berlin,2019-08-16 19:30:00
310379,78,BlockedShot,0.9619999694824218,0.3940000152587891,0.08610309660434723,Corentin Tolisso,h,3603,FromCorner,2019,RightFoot,12403,Bayern Munich,Hertha Berlin,2,2,2019-08-16 19:30:00,David Alaba,HeadPass,Bayern Munich,Hertha Berlin,2019-08-16 19:30:00
